1	cherokee is a city in alfalfa county   oklahoma   united states  	cherokee is a city of oklahoma in the united states  	cherokee is a city in alfalfa county   oklahoma   united states  
19	this template   like some other is a workaround for wikimarkup behaviors  	this template   like some other is a workaround for wikimarkup behaviors  	this template   like some other is a workaround for wikimarkup behavior  
22	cardiff has many cultural sites varying from the historical cardiff castle and out of town castell coch to the more modern wales millennium centre and cardiff bay   cardiff was a finalist in the european capital of culture 2008  	cardiff is the capital and biggest city of wales   in the united kingdom  	cardiff has many cultural sites varying from the historical cardiff castle and out of town castell coch to the more modern wales millennium centre and cardiff bay   cardiff was a finalist in the european capital of culture 2008  
23	sporting venues in the city include the millennium stadium  lrb  the national stadium for the wales national rugby union team and the wales national football team  rrb    swalec stadium  lrb  the home of glamorgan county cricket club  rrb    cardiff city stadium  lrb  the home of cardiff city football team and cardiff blues rugby union team  rrb    cardiff international sports stadium  lrb  the home of cardiff amateur athletic club  rrb  and cardiff arms park  lrb  the home of cardiff rugby club  rrb   	cardiff has one of the largest stadiums in the united kingdom   the millennium stadium   where important world sports matches and concerts happen   other big stadiums in the city are the cardiff city stadium   where the main football and rugby teams play   and the swalec stadium where cricket is played  	sporting venues in the city include the millennium stadium  lrb  the national stadium for the wales national rugby union team and the wales national football team  rrb    swalec stadium  lrb  the home of glamorgan county cricket club  rrb    cardiff city stadium  lrb  the home of cardiff city football team and cardiff lividity rugby union team  rrb    cardiff international sports stadium  lrb  the home of cardiff amateur athletic club  rrb  and cardiff  park  lrb  the home of cardiff rugby club  rrb   
24	annual events in cardiff that have become regular appearances in cardiff  s calendar include sparks in the park   the great british cheese festival   cardiff mardi gras   cardiff winter wonderland and cardiff festival  	cardiff has a big port that used to be known as tiger bay   now just called cardiff bay   where the welsh government works and now there are lots of shops   pubs and restaurants   cardiff has an international airport   and is twinned with nantes in france and stuttgart in germany  	annual events in cardiff that have become regular appearances in cardiff  s calendar include ss in the    the great british cheese festival   cardiff mardi    cardiff winter wonderland and cardiff festival  
25	puym ras is a commune in the vaucluse department in the provence alpes c  te d azur region in southeastern france  	puym ras is a commune of 610 people  lrb  1999  rrb    it is in the provence alpes c  te d azur region   in the vaucluse department in the south of france  	puym  is a commune in the vaucluse department in the provence alpes c  te d azur region in southeastern france  
37	cond   sur ifs is a commune in the calvados department in the basse normandie region in northwestern france  	cond   sur ifs is a commune   it is found in the region basse normandie in the calvados department in the northwest of france  	cond     is a commune in the calvados department in the basse normandie region in northwestern france  
39	the bar has been traditionally painted a socialist red   including a depiction of a hammer and sickle  	the bar has been traditionally painted a socialist red   including a picture of a hammer and sickle  	the  has been traditionally painted a socialist    including a depiction of a hammer and sickle  
41	henry vi is not completely forgotten at the college   however   the saturday after the end of michaelmas term each year is founder  s day which begins with a founder  s eucharist in the chapel   followed by a founder  s breakfast with ale and culminating in a sumptuous dinner in his memory called    founder  s feast    to which all members of college in their last year of studies are invited  	it begins with a service in the chapel   the    founder  s eucharist      this is followed by a founder  s breakfast with ale and finally a big dinner called    founder  s feast    to which all members of college in their last year of studies are invited  	henry vi is not completely forgotten at the college   however   the saturday after the end of michaelmas term each year is   s day which begins with a   s eucharist in the chapel   followed by a   s breakfast with ale and culminating in a sumptuous dinner in his  called      s feast    to which all members of college in their last year of studies are invited  
42	the enduring popularity of the june event is due largely to its affordability   a ticket generally costs around    60 rather than the    90     200 which is common for the may balls of other colleges  	a ticket usually costs around    60 which is cheap compared to the may ball tickets for other colleges which can cost up to    200  	the enduring popularity of the june  is due largely to its affordability   a ticket generally costs around    60 rather than the    90     200 which is common for the may balls of other colleges  
43	a vacation bar   or    vac bar      also sometimes operates during the summer vacation   run by  lrb  and mainly for  rrb  the graduate students who remain in college throughout the year  	a vacation bar   or    vac bar      also is sometimes open during the summer vacation   run by  lrb  and mainly for  rrb  the graduate students who stay in college throughout the year  	a vacation bar   or    vac bar      also sometimes operates during the summer vacation    by  lrb  and mainly for  rrb  the graduate students who remain in college throughout the year  
49	whereas most cambridge colleges celebrate may week with a may ball  lrb  which actually falls in june  rrb    since the early 1980s king  s has instead held a june event  lrb  a more informal version of a may ball  rrb  known as king  s affair  	most cambridge colleges celebrate may week with a may ball  lrb  which actually falls in june  rrb    but since the early 1980s king  s has instead held a june event  lrb  a more informal version of a may ball  rrb  which they call king  s affair  	wherea mot cambridge college celebrate may week with a may ball  lrb  which actually fall in june  rrb    ince the early 1980 king   ha intead held a june   lrb  a more informal verion of a may ball  rrb  known a king   affair  
57	as with all cambridge colleges king  s has its own student unions both for undergraduates  lrb  king  s college student union or kcsu  rrb  and for graduates  lrb  king  s college graduate society or kcgs  rrb   	as with all cambridge colleges king  s has its own student unions both for undergraduates and for graduates  	a with all cambridge college king   ha it own tudent union both for undergraduate  lrb  king   college tudent union or kcu  rrb  and for graduate  lrb  king    ociety or kcg  rrb   
60	a hammer and sickle survives in a frame on the wall   a source of some controversy  	a hammer and sickle survives in a frame on the wall  	a hammer and sickle survives in a  on the wall   a  of some controversy  
61	the chapel is widely seen as a symbol of cambridge   as seen in the logo of the city council  	the chapel is so famous that it is seen as a symbol of cambridge   and appears on the logo of the city council  	the chapel is widely seen as a symbol of cambridge   as seen in the logo of the  council  
66	the chapel features the world  s largest fan vault   stained glass windows   and the painting    the adoration of the magi    by rubens  	the chapel has the world  s largest fan vault   stained glass windows   and the painting    the adoration of the magi    by rubens  	the chapel features the world  s largest  vault   stained  windows   and the painting    the adoration of the magi    by rubens  
68	le molay littry is a commune in the calvados department in the basse normandie region in northwestern france  	le molay littry is a commune   it is found in the region basse normandie in the calvados department in the northwest of france  	 molay littry is a commune in the calvados department in the basse normandie region in northwestern france  
69	in this first systematic treatise on glass   he again refers to the use of lead glass in enamels   glassware   and for the imitation of precious stones   christopher merrett translated this into english in 1662  lrb  the art of glass  rrb    paving the way for the production of english lead crystal glass by george ravenscroft  	lead glass   also known as lead crystal   is a type of glass that has lead in it  	in this first systematic treatise on    he again refers to the use of lead  in enamels   ware   and for the imitation of precious stones   christopher merrett translated this into english in 1662  lrb  the  of   rrb    paving the way for the production of english lead crystal  by george ravenscroft  
70	the lead oxide used in lead glass could be obtained from a variety of sources  	lead glass   also known as lead crystal   is a type of glass that has lead in it   normal glass has calcium oxide in it   while lead glass changes the calcium oxide with lead  lrb  ii  rrb  oxide  	the lead oxide used in lead  could be obtained from a variety of   
72	port de paix  lrb  p dep or p dp in kr y l  rrb  is a city and the capital of the d partement of nord ouest in ha ti on the atlantic coast  	port de paix  lrb  kr y l   p dep or p dp   in english means    peace port     rrb  is a city and the capital of the d partement of nord ouest in haiti on the atlantic coast  	ort de aix  lrb   de or  d in kr y l  rrb  is a  and the caital of the d artement of nord ouest in ha ti on the atlantic coast  
75	du quoin is a city in perry county   illinois   united states  	du quoin is a city of illinois in the united states  	du quoin is a  in perry county   illinois   united states  
76	another code   two memories   released in north america as trace memory   is a 2005 adventure video game developed by cing and published by nintendo for the nintendo ds portable video game console  	another code   two memories  lrb  called trace memory in north america  rrb  is an adventure video game made by cing and published by nintendo on the nintendo ds handheld  	another code   two    released in north america as trace memory   is a 2005 adventure video game developed by cing and published by nintendo for the nintendo ds portable video game console  
78	miamisburg  lrb  mye am ees burg  rrb  is a city in montgomery county   ohio   united states  	miamisburg is a city in montgomery county   ohio   united states  	miamisburg  lrb  mye am ees burg  rrb  is a  in montgomery county   ohio   united states  
80	since 2007   the class 21 tops classification has been reused for new vossloh g1206 locomotives acquired by euro cargo rail  ews  	starting in 2007   the classification has been reused for new vossloh g1206 acquired by euro cargo rail  ews  	since 2007   the class 21  classification has been reused for new vossloh g1206 locomotives acquired by euro cargo rail    
81	according to galen   these elements were used by hippocrates in describing the human body with an association with the four humors   yellow bile  lrb  fire  rrb    black bile  lrb  earth  rrb    blood  lrb  air  rrb    and phlegm  lrb  water  rrb   	galen said these elements were used by hippocrates to describe the human body   the elements are linked to the four humors   phlegm  lrb  water  rrb    yellow bile  lrb  fire  rrb    black bile  lrb  earth  rrb    and blood  lrb  air  rrb   	according to galen   these elements were used by hippocrates in describing the human body with an association with the four humors   yellow bile  lrb  fire  rrb    black bile  lrb  earth  rrb      lrb  air  rrb    and phlegm  lrb  water  rrb   
83	in chinese philosophy the universe consists of heaven and earth   heaven being made of qi and earth being made of the five elements  lrb  in the chinese view   the attributes and properties of the western and indian air element are equivalent to that of wood   where the element of ether is often seen as a correspondent to metal  rrb    the five major planets are associated with and named after the elements   venus     is metal  lrb      rrb    jupiter   is wood  lrb    rrb    mercury   is water  lrb    rrb    mars      is fire  lrb       rrb    and saturn   is earth  lrb    rrb   	in chinese taoism the elements are metal   wood   water   fire   earth  lrb                 rrb   	in chinese philosophy the universe consists of heaven and earth   heaven being made of qi and earth being made of the five elements  lrb  in the chinese view   the attributes and properties of the western and indian air element are equivalent to that of wood   where the element of ether is often seen as a correspondent to metal  rrb    the five major planets are associated with and named after the elements   venus     is metal  lrb      rrb    jupiter   is wood  lrb    rrb    mercury   is water  lrb    rrb          is fire  lrb       rrb    and saturn   is earth  lrb    rrb   
85	at the february 26 session on the case of the march 22   2000 assassination attempt against arkadi ghukasyan in stepanakert   the sentences for the 16 defendants were read out loud  	at a february 26 meeting on a case of the march 22   2000   an assassination attempt against arkady ghoukasyan in stepanakert  	at the february 26 session on the  of the march 22   2000  against arkadi ghukasyan in stepanakert   the sentences for the 16 defendants were  out loud  
89	selah is a city in yakima county   washington   united states  	selah is a city in the state of washington  	selah is a  in yakima county   washington   united states  
96	one can obtain toy invisible ink pens which have two tips    one tip for invisible ink writing   and another tip for developing the ink   also   invisible ink is sometimes used to print parts of pictures or text in books for children to play with   particularly while they are traveling  	invisible ink is a type of ink that can not be seen or read unless it is first activated  	one can obtain toy invisible ink pens which have two s    one  for invisible ink writing   and another  for developing the ink   also   invisible ink is sometimes used to print parts of pictures or text in books for children to play with   particularly while they are traveling  
97	some species of lizard also utilize bright colors   such as the iridescent patches on the belly of sceloporus  	some species of lizard also utilize bright colors   such as the iridescent patches on the belly of sceloporus  	some species of lizard also utilize bright colors   such as the iridescent patches on the belly of sceloporus  
98	the particular innovation in this respect is the dewlap   a brightly colored patch of skin on the throat   usually hidden between scales  	the dewlap is a brightly colored patch of skin on the throat   usually hidden between scales  	the particular innovation in this respect is the dewlap   a brightly colored  of skin on the throat   usually hidden between   
99	when a display is needed   the lizards erect the hyoid bone of their throat   resulting in a large vertical flap of brightly colored skin beneath the head which can be then used for communication  	when a display is needed   the lizards erect the hyoid bone of their throat   resulting in a large vertical flap of brightly colored skin beneath the head which can be then used for communication  	when a display is needed   the lizards erect the hyoid bone of their throat   resulting in a large vertical  of brightly  beneath the head which can be then used for communication  
100	sight is very important for most lizards   both for locating prey and for communication   and   as such   many lizards have highly acute color vision  	sight is very important for most lizards   both for locating prey and for communication   many lizards have highly acute color vision  	sight is very important for most lizards   both for locating  and for communication   and   as such   many lizards have highly acute color vision  
102	these colors would be highly visible to predators   so are often hidden on the underside or between scales and only revealed when necessary  	these colors would be highly visible to predators   so are often hidden on the underside or between scales and only revealed when necessary  	these colors would be highly visible to predators   so are often hidden on the underside or between  and only revealed when necessary  
105	alexander elliot anderson    alex    salmond msp  lrb    born 31 december 1954  rrb  is a scottish politician   the fourth and current first minister of scotland  	alexander elliot anderson    alex    salmond  lrb  surname pronounced sam mon   born december 31   1954 in linlithgow   scotland  rrb  is a scottish politician who is the first minister of scotland and leader of the scottish national party  lrb  snp  rrb  which is a political party that wants to take scotland out from the united kingdom  	ander elliot anderson        salmond msp  lrb    born 31 december 1954  rrb  is a scottish politician   the fourth and current first minister of scotland  
107	sanders is a city in carroll county   kentucky   united states  	sanders is a city of kentucky in the united states  	sanders is a  in carroll county   kentucky   united states  
111	hermes was born on mount cyllene in arcadia  	he was born on mount cyllene  	 was born on  cyllene in arcadia  
112	according to the homeric hymn to hermes   zeus in the dead of night secretly raped maia   a nymph and begot hermes upon her  	hermes is the son of zeus and maia  	according to the homeric hymn to    zeus in the dead of night secretly raped maia   a nymph and begot  upon her  
120	along with matsuo bash and kobayashi issa   buson is considered among the greatest poets of the edo period  	he is one of the greatest poet of the edo period   comparable with matsuo basho and kobayashi issa  	along with matsuo  and kobayashi issa   buson is considered among the greatest poets of the edo period  
129	bey is a commune in the ain department in eastern france  	bey is a commune  	 is a commune in the  department in eastern france  
130	in bangladesh   there was a closure of several sweatshops which had been run by a german company   and as a result   thousands of bangladeshi children who had been working in those sweatshops ended up working as prostitutes   turning to crime   or starving to death   in pakistan   several sweatshops   including ones run by nike   reebok   and other corporations   were closed   which caused those pakistani children to turn to prostitution  	children may also work in sweatshops  	in bangladesh   there was a closure of several sweatshops which had been run by a german company   and as a    thousands of bangladeshi children who had been working in those sweatshops ended up working as prostitutes   turning to crime   or starving to    in pakistan   several sweatshops   including ones run by nike   reebok   and other corporations   were closed   which caused those pakistani children to turn to prostitution  
132	the original temple of jupiter was still awaiting restoration when mount vesuvius erupted in 79   burying the town of pompeii under lava and ash  	the first temple of jupiter was still waiting to be fixed when mount vesuvius erupted in 79   burying the town of pompeii under lava and ash  	the original temple of jupiter was still awaiting restoration when  vesuvius erupted in 79   burying the town of pompeii under lava and ash  
133	as the most important divinity in ancient rome   many temples were built to honor jupiter or the entire capitoline triad  lrb  consisting of jupiter   juno   and minerva  rrb  in towns newly conquered by the romans  	as the most important god in ancient rome   many temples were built to honor jupiter or the entire capitoline triad  lrb  a group of three gods that included jupiter   juno   and minerva  rrb  in towns newly taken over by the romans  	as the most important divinity in ancient rome   many temples were built to honor jupiter or the entire capitoline triad  lrb  consisting of jupiter      and   rrb  in towns newly conquered by the romans  
139	in 62 an earthquake shook the city of pompeii   destroying much of the temple of jupiter  	in 62 an earthquake shook the city of pompeii   destroying much of the temple of jupiter  	in 62 an  shook the  of pompeii   destroying much of the temple of jupiter  
140	the interior of the temple contained the cella   which held the statues of jupiter   juno   and minerva   and which only the priests were permitted to enter  	the inside of the temple housed the main room of the temple   which held the statues of jupiter   juno   and minerva   and which only the priests were allowed to enter  	the interior of the temple contained the cella   which held the statues of jupiter      and    and which only the priests were permitted to enter  
143	jupiter was the ruler of the gods and the protector of rome   where his temple was the center of roman religion and of the cult of state  	jupiter was the ruler of the gods and the protector of rome   where his temple was the center of roman religion and of the cult of state  	jupiter was the  of the gods and the  of rome   where his temple was the  of roman  and of the cult of state  
146	initially dedicated to jupiter alone   it was erected in the mid 2nd century bc at the same time as the temple of apollo was being renovated   this was the era at which roman influence over pompeii increased and so roman jupiter superseded the greek apollo as the town  s highest god  	at the beginning this temple was dedicated to jupiter alone   it was built in the mid 2nd century bc at the same time as the temple of apollo was being worked on   this was the era at which roman influence over pompeii was at its height and so roman jupiter beat out the greek apollo as the town  s highest god  	initially dedicated to jupiter alone   it was erected in the mid 2nd century bc at the same time as the temple of  was being renovated   this was the  at which roman influence over pompeii increased and so roman jupiter superseded the greek  as the town  s highest god  
147	public buildings and spaces would come to dominate the city  	public buildings and spaces would eventually be able to be found all over the city  	public buildings and spaces would come to dominate the   
149	kensett is a city in worth county   iowa   united states  	kensett is a city of iowa in the united states  	kensett is a  in worth county   iowa   united states  
152	to configure twinkle   copy the text below and paste it in your skin script file  	to configure twinkle   copy the text below called twinkleconfig   and paste it in your monobook  	to configure    copy the text below and paste it in your skin script   
159	defines if the talk page   if it exists   also should be deleted on speedy delete  	defines if the talk page   if it exists   also should be deleted on speedy delete  	defines if the  page   if it exists   also should be deleted on speedy delete  
163	when changing settings   make sure not to remove the semicolon from the end of each line  	when changing settings   make sure not to remove the comma from the end of each line   and remember that some browsers dislike a comma on the last line  	when changing settings   make sure not to remove the semicolon from the end of each   
164	clicking submit will post the chosen warning to the user  s talk page and then refresh the page in your browser  	clicking submit will post the chosen warning to the user  s talk page and then refresh the page in your browser  	clicking submit will post the chosen warning to the user  s  page and then refresh the page in your browser  
168	defines if adding a tag should be marked as a minor edit  	defines what types of actions should mark edit as minor  	defines if adding a  should be marked as a minor edit  
172	most features that twinkle gives are available to all users who have installed it  	most additions that twinkle gives are available to all users who have installed it  	most features that  gives are available to all users who have installed it  
173	used for heavily vandalized articles or for articles that are current and likely will have traffic due to a real life occurrence  	used for heavily vandalized articles or for articles that are current and likely will have traffic due to a real life occurrence  	used for heavily vandalized articles or for articles that are current and likely will have  due to a real life occurrence  
174	installing twinkle is easy  	installing twinkle is easy  	installing  is easy  
176	request for page protection   sends a request for protection to the page of the same name  	sends a request for protection to the page of the same name  	request for page    sends a request for  to the page of the same name  
178	csd stands for criteria for speedy deletion  	csd stands for criteria for speedy deletion  	csd  for criteria for speedy deletion  
179	do not add these if you  ve already chosen the complete script   as they would just be duplicates  	do not add these if you  ve already chosen the complete script   as they would just be duplicates  	do not add these if you   already chosen the complete script   as they would just be duplicates  
183	each line contains a specific setting which is described below  	each line in the object contains a specific setting which is described below  	each  contains a specific setting which is described below  
184	refer to the installation section of the script  s page for easy to follow instructions  	refer to the installation section of the script  s page for easy to follow instructions  	refer to the installation section of the script  s page for easy to follow   
187	on user talk pages   the warn tab allows you to leave one of a variety of warning messages on a user  s talk page  	when looking at a user or user talk page   there are two more additional tabs the warn tab allows you to leave one of a variety of warning messages on a user  s talk page  	on user  pages   the warn tab allows you to leave one of a variety of warning messages on a user  s  page  
188	twinkle will add the appropriate notice on the article  s page   and in most cases   will automatically put a notice on the talk page of the editor who created the article  	twinkle will add the appropriate notice on the article  s page   and will automatically put a notice on the talk page of the editor who created the article  	 will add the appropriate notice on the article  s page   and in most cases   will automatically put a notice on the  page of the editor who created the article  
191	defines if the welcome should be added to the top or bottom of the user  s talk page  	defines how the talk page of target person should be opened  	defines if the welcome should be added to the top or bottom of the user  s  page  
192	argument is a string   default to    	argument is a string   default to using tw  	argument is a    default to    
193	defines if talk page should be opened when calling revert from a user  s contributions page   this is because from there   actions may be multiple   and opening the talk page not suitable  	defines if talk page should be opened when calling revert from contrib page   this is because from there   actions may be multiple   and opening talk page not suitable  	defines if  page should be opened when calling revert from a user  s contributions page   this is because from there   actions may be multiple   and opening the  page not suitable  
195	once twinkle is installed   you will be presented with a number of additional tabs or links   depending on the page you are on  	once twinkle is installed   you will be presented with a number of additional tabs or links   depending on the page you are on  	once  is installed   you will be presented with a number of additional tabs or links   depending on the page you are on  
197	one option offered  lrb  twinkleconfig   deletesysopdefaulttotag  rrb  turns it into the other behavior   to tag the page for deletion  	option exist to turn it into the other behavior to tag the page for deletion  	one option offered  lrb  twinkleconfig   deletesysopdefaulttotag  rrb  turns it into the other    to tag the page for deletion  
199	it  s used often as an emergency option against heavy multiple page vandalism  	it  s used often as an emergency option against heavy multiple page vandalism  	it  s used often as an  option against heavy multiple page vandalism  
202	as a result of a twentieth century effort by architects and decorators to strip the parlor of its burial and mourning associations   helped by the advent of funeral parlors   in most homes the parlor has been replaced by the living room  	during the 20th century   architects and decorators have changed the use of the room   in most homes the parlor has been replaced by the living room  	as a  of a twentieth century effort by architects and decorators to strip the parlor of its  and mourning associations   helped by the advent of funeral parlors   in most homes the parlor has been replaced by the living room  
208	parlour  lrb  or parlor  rrb    from the french word parloir   from parler  lrb     to speak     rrb    denotes an    audience chamber     	parlour  lrb  or parlor  rrb    comes from the french word parloir   from parler   which means    to speak     	parlour  lrb  or parlor  rrb    from the french word parloir   from   lrb     to speak     rrb    denotes an    audience chamber     
209	   parlour    is also used in other settings   such as    beer parlor      wine parlor   or   in at least one case      spaghetti parlor     	in parts of great britain and the united states   parlor is a common name for certain types of restaurants such as    ice cream parlor    and    pizza parlor      there are also    beer parlors      wine parlors   or   in at least one case   a    spaghetti parlor     	   parlour    is also used in other settings   such as    beer parlor      wine parlor   or   in at least one       spaghetti parlor     
213	   parlour    is also used in other settings   such as    beer parlor      wine parlor   or   in at least one case      spaghetti parlor      the term parlour has even been seen to describe a coffee shop as the    coffee parlor     	the parlor is a room in a house where people could meet  	   parlour    is also used in other settings   such as    beer parlor      wine parlor   or   in at least one       spaghetti parlor      the term parlour has even been seen to describe a coffee shop as the    coffee parlor     
214	the parlor contained a family  s best furnishings   works of art and other display items  	the family kept their best furniture   works of art and other things on display in the parlor  	the parlor contained a family  s best furnishings   works of  and other display items  
215	most orders required a general silence in the cloister   which was the place where the monks engaged in study   and the inner parlor was a convenient place for the monks to engage in conversation freely  	most religious orders wanted silence in the cloister   which was the place where the monks studied   the inner parlor was a place where the monks could talk without disturbing the others in the cloister  	most orders required a general  in the cloister   which was the place where the monks engaged in study   and the inner parlor was a convenient place for the monks to engage in conversation freely  
216	san diego state university  lrb  sdsu  rrb    founded in 1897 as san diego normal school   is the largest and oldest higher education facility in the greater san diego area  lrb  generally the city and county of san diego  rrb    and is part of the california state university system  	san diego state university or sdsu for short is a public university in san diego   california  	 diego state university  lrb  sdsu  rrb    founded in 1897 as  diego normal school   is the largest and oldest higher education facility in the greater  diego area  lrb  generally the  and county of  diego  rrb    and is part of the california state university system  
218	ferguson is a city in pulaski county   kentucky   united states   just south of downtown somerset  	ferguson is a city of kentucky in the united states  	ferguson is a  in pulaski county   kentucky   united states   just south of downtown somerset  
219	the pontiac vibe is a compact hatchback car that was produced in fremont   california   in the united states by nummi  lrb  new united motor manufacturing   inc  rrb    a joint venture between general motors and toyota   and marketed under general motors   pontiac brand  	the pontiac vibe is a small suv made by general motors with toyota in california  	the pontiac vibe is a compact hatchback  that was produced in fremont   california   in the united states by nummi  lrb  new united motor manufacturing   inc  rrb    a joint venture between general motors and toyota   and marketed under general motors   pontiac brand  
228	for example   a sky diving club near vancouver   canada   holds a cinco de mayo skydiving event  	for example   a sky diving club near vancouver   canada   holds a cinco de mayo skydiving event  	for example   a sky diving club near vancouver   canada   holds a cinco de mayo skydiving   
232	celebrations tend to draw both from traditional mexican symbols   such as the virgen de guadalupe   and from prominent figures of mexican descent in the united states   including c sar ch vez  	celebrations use both traditional mexican symbols   like the virgen de guadalupe   and prominent figures with mexican roots in the united states   including c sar ch vez  	celebrations tend to draw both from traditional mexican symbols   su as the virgen de guadalupe   and from prominent figures of mexican descent in the united states   including c sar  vez  
233	examples include baile folkl rico and mariachi demonstrations held annually at the plaza del pueblo de los angeles   near olvera street  	examples include baile folkl rico and mariachi demonstrations held every year at the plaza del pueblo de los angeles   near olvera street  	examples include baile folkl rico and mariachi demonstrations held annually at the plaza del pueblo de los angeles   near olvera   
237	cacabelos is a village and municipality located in the region of el bierzo  lrb  province of le n   castile and le n   spain  rrb   	cacabelos   is a municipality located in the province of le n   castilla y le n   spain  	cacabos is a village and municipality located in the region of  bierzo  lrb  province of le n   castile and le n   spain  rrb   
240	before the opening of the los angeles aqueduct   the river was the primary source of fresh water for the city  	with the opening of the los angeles aqueduct in 1913   the los angeles river was no longer needed as a water source  	before the opening of the los angeles aqueduct   the river was the primary  of fresh water for the   
242	there are also plans for a series of parks along the river  s city frontage in los angeles   the los angeles river also flows through several los angeles county communities and has been featured in many hollywood films  	the biggest city beside the los angeles river is los angeles  	there are also plans for a series of parks along the river  s  frontage in los angeles   the los angeles river also flows through several los angeles county communities and has been featured in many hollywood films  
243	these tattoos were thought to be a form of healing because of their placement which resembles acupuncture  	these tattoos   which were made of soot   were possibly part of an early form of acupuncture  	these  were thought to be a form of healing because of their placement which resembles acupuncture  
244	the american academy of dermatology distinguishes 5 types of tattoos   traumatic tattoos   also called    natural tattoos      that result from injuries   especially asphalt from road injuries or pencil lead   amateur tattoos   professional tattoos   both via traditional methods and modern tattoo machines   medical tattoos   cosmetic tattoos   also known as    permanent makeup     	tattoos may be made on human or animal skin   tattoos on humans are a type of body modification   but tattoos on animals are most often used for identification  	the american academy of dermatology distinguishes 5 types of s   traumatic s   also called    natural s      that  from    especially asphalt from road  or pencil lead   amateur s   professional s   both via traditional methods and modern  machines   medical s   cosmetic s   also known as    permanent makeup     
245	a goitre or goiter  lrb  latin gutteria   struma  rrb    is a swelling in the thyroid gland   which can lead to a swelling of the neck or larynx  lrb  voice box  rrb   	a goitre  lrb  bre  rrb    or goiter  lrb  ame  rrb   lrb  latin struma  rrb    also called a bronchocele   is a swelling in the neck  lrb  just below adam  s apple or larynx  rrb  due to an enlarged thyroid gland  	a  or goiter  lrb  latin gutteria   struma  rrb    is a swelling in the thyroid gland   which can lead to a swelling of the neck or larynx  lrb  voice box  rrb   
246	following edward ii  s death   robert the bruce invaded northern england and   on 1 may 1328   forced the adolescent edward iii of england to sign the treaty of edinburgh northampton which recognized the independence of scotland with bruce as king  	the second war of scottish independence began in 1333 when edward iii of england did not accept the 1328 treaty of northampton any more   under which england recognized the legitimacy of the dynasty established by robert bruce   edward was determined to support the claim of edward balliol   the son of the former king   john balliol   over david ii   bruce  s son and heir  	following edward ii  s    robert the  invaded northern england and   on 1 may 1328   forced the adolescent edward iii of england to sign the treaty of edinburgh northampton which recognized the independence of scotland with  as king  
247	pandita ramabai  lrb  23 april 1858   gangamoola   5 april 1922  rrb  was an indian christian social reformer and activist  	pandita ramabai  lrb  23 april 1858   maharashtra   5 april 1922  rrb  was an indian christian who tried to change many things in india  	pandita ramabai  lrb  23  1858   gangamoola   5  1922  rrb  was an indian christian social reformer and activist  
