0	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  	it is the county seat of alfalfa county  
16	the simplest type of mechanical aid is the use of wooden    fingers    that can be closed to press the string down and fret the c     d   eb   or e notes  	the simplest type of mechanical aid is the use of wooden    fingers    that can be closed to press the string down and fret the c     d   eb   or e notes  	the simplest type of mechanical aid is the use of wooden    fingers    that can be closed to press the string down and fret the c     d   eb   or e notes  
17	throughout classical repertoire   there are notes that fall below the range of a standard double bass  	throughout classical repertoire   there are notes that fall below the range of a standard double bass  	throughout classical repertoire   there are notes that fall below the range of a standard double bass  
18	in the simplest mechanical extensions   there are no mechanical aids attached to the fingerboard extension except a locking nut for the    e    note  	in the simplest version   there are no mechanical aids attached to the fingerboard extension except a locking nut for the    e    note  	in the simplest version   there are no mechanical aids attached to the fingerboard extension except a locking nut for the    e    note  
19	the extension is an extra section of fingerboard mounted up over the head of the bass  	more rarely would one find a four string double bass with a    b extension      extending the lowest string down to a low b  the extension is an extra section of fingerboard mounted up over the head of the bass  	the extension is an extra section of fingerboard mounted up over the head of the bass  
20	the double bass is generally tuned in fourths   in contrast to members of the orchestral string family   which are tuned in fifths  	the double bass is generally tuned in fourths   in contrast to members of the orchestral string family   which are tuned in fifths  	the double bass is generally tuned in fourths   in contrast to members of the orchestral string family   which are tuned in fifths  
21	in the classical era   the double bass typically doubled the cello part an octave below   occasionally requiring descent to c below the e of the four string double bass  	throughout classical repertoire   there are notes that fall below the range of a standard double bass   notes below low e appear regularly in double bass parts in the baroque and classical eras   when the double bass was typically doubling the cello part an octave below  	in the classical era   the double bass typically doubled the cello part an octave below   occasionally requiring descent to c below the e of the qing double bass  
22	johannes brahms   whose father was a double bass player   wrote many difficult and prominent parts for the double bass in his symphonies  	the double bass also has many other names  	johannes brahms   whose father was a double bass player   wrote many difficult and prominent parts for the double bass in his symphonies  
23	like many other string instruments   the double bass is played either with a bow  lrb  arco  rrb  or by plucking the strings  lrb  pizzicato  rrb   	in an orchestra   double bass players bow the strings with a wooden bow strung with horsehair   or pluck the strings with their fingers  lrb  plucking the strings is called pizzicato  rrb    in jazz the double bass is played pizzicato most of the time  	like many other string instruments   the double bass is played either with a bow  lrb   unk   rrb  or by pluck the strings  lrb  plucking  rrb   
24	notes below low e appear regularly in the double bass parts found in later arrangements and interpretations of baroque music   these parts are transpositions of parts written for other bass instruments used before the modern double bass became common and may actually lower the part an octave  	notes below low e appear regularly in double bass parts in the baroque and classical eras   when the double bass was typically doubling the cello part an octave below  	notes below low e appear regularly in the double bass parts found in later arrangements and interpretations of baroque music  
25	it is also spoken as a second language by some brahui  	it is also spoken as a second language by some brahui  	it is also spoken as a second language by some brahui  
26	gauchin verloingt is a commune in the pas de calais department in the nord pas de calais region of france  	gauchin verloingt is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  	gauchin verloingt is a commune   it is found in the region nord pas de calais in the pas de calais department in the north of france  
27	on the whole   bibliography is not concerned with the literary content of books   but rather the    bookness    of books     how they were designed   edited   printed   circulated   reprinted and collected  	this kind of bibliography is not concerned with the written content of books   but rather the    bookness    of books       how they were designed   edited   printed   circulated   reprinted and collected  	on the whole   hanging is not concerned with the literary content of books   but rather the    bookness    of books     how they were designed   edited   printed   circulated   reprinted and collected  
28	bibliography  lrb  from greek   bibliographia   literally    book writing     rrb    as a practice   is the academic study of books as physical   cultural objects   in this sense   it is also known as bibliology  lrb  from greek     logia  rrb   	another meaning of bibliography is the academic study of books as physical and cultural objects   in this sense   it is also known as bibliology  	another is the academic study of books as physical   cultural objects   in this sense   it is also known as bibliology  lrb  from greek      unk   rrb   
29	the word bibliographia  lrb                  rrb  was used by greek writers in the first three centuries ad to mean the copying of books by hand  	bibliography  lrb  greek            book        write  rrb  is the arrangement of printed books and articles according to author or subject   and the publication of lists of titles  	bibliography  lrb                   rrb  was used by greek writers in the first three centuries ad to mean the copying of books by hand  
30	the emmy award   often referred to simply as the emmy   is a television production award   similar in nature to the peabody awards but more focused on entertainment   and is considered the television equivalent to the academy awards  lrb  for film  rrb    grammy awards  lrb  for music  rrb   	the emmy awards are united states television production awards which are given out each year   they are the television version of the academy awards  	the emmy award   often referred to simply as the emmy  
31	the daytime emmy awards   generally are held in june   are presented in recognition of excellence in american daytime television programming   the first daytime themed emmy awards were given out at the primetime ceremony in 1972   but the first separate awards show made just for daytime programming was not held until 1974  	the best known of the awards are the primetime awards  lrb  some of which are named    creative arts emmys     rrb  and the daytime emmy awards  	the daytime emmy awards   usually are held in june   are presented in recognition of excellence in american daytime television programming  
32	shirley dinsdale has the distinction of receiving the very first emmy   for most outstanding television personality   during that first awards ceremony  	shirley dinsdale was the very first person to be given an emmy in the first awards ceremony  	shirley dinsdale has the distinction of getting the very first emmy   for most outstanding television personality   during that first awards ceremony  
33	kursi aur qanoon is a pakistani punjabi film directed by masood butt  	kursi aur qanoon is a pakistani punjabi film directed by syed noor  	kursi aur qanoon is a pakistani punjabi film directed by syed noor  
34	a normal pole is about 12     16 feet  lrb  4     5 m  rrb  long and weighs about 10 lb  lrb  5 kg  rrb   	a normal pole is about 12     16 feet  lrb  4     5 m  rrb  long and weighs about 10 lb  lrb  5 kg  rrb   	a normal pole is about 12     16 feet  lrb  4     5 m  rrb  long and weighs about 10 lb  lrb  5 kg  rrb   
35	poles for pleasure punts are normally made of spruce   or aluminium  	poles for pleasure punts are normally made of spruce   or aluminium  	poles for pleasure punts are normally made of spruce   or aluminium  
36	a punt is a flat bottomed boat with a square cut bow   designed for use in small rivers or other shallow water  	a punt is a flat boat with a broad front   designed for use in small rivers or other shallow water  	a punt is a flat boat with a broad front   designed for use in small rivers or other shallow water  
37	jive later released a reel big fish greatest hits album   greatest hit     and more   because they owned the rights to all previous songs  	jive later released a reel big fish greatest hits album   greatest hit     and more   because they owned the rights to all previous songs  	jive later released a reel big fish greatest hits album   greatest hit     and more   because they owned the rights to all previous songs  
38	the band formed their own label and released a 3 disc live performance cd  dvd set   our live album is better than your live album  	the band formed their own label and released a 3 disc live performance cd  dvd set   our live album is better than your live album  	the band formed their own label and released a 3 disc live performance cd  dvd set   our live album is better than your live album  
39	king edward  s chair  lrb  or st edward  s chair  rrb    the throne on which english and british sovereigns have been seated at the moment of coronation   is housed within the abbey and has been used at every coronation since 1308  	king edward  s chair  lrb  or st edward  s chair  rrb    is the throne on which british sovereigns sit when the crown is put on their heads   it is kept in the abbey   and has been used at every coronation since 1308  	king edward  s chair  lrb  or st edward  s chair  rrb    the throne on which english and british sovereigns have been seated at the moment of coronation   is housed within the abbey and has been used at every coronation since 1308  
40	g 1  4 nter theodor netzer  lrb  born 14 september 1944 in m nchengladbach  rrb  is a former german football player and team general manager currently working in the media business  	g 1  4 nter netzer  lrb  born 14 september 1944  rrb  is a former german football player  	g 1  4 nter netzer  lrb  born 14 september 1944  rrb  is a former german football player  
41	once a coastal city near the mouth of the euphrates on the persian gulf   ur is now well inland   south of the euphrates on its right bank   16 k from nasiriyah  	once a coastal city near the mouth of the then euphrates river on the persian gulf   ur is now well inland   south of the euphrates on its right bank   16 k from nasiriyah   iraq  	once a coastal city near the mouth of the euphrates on the persian gulf   ur is now well inland   south of the euphrates on its right bank   16 k from nasiriyah  
42	longinus   legend grew over the years to the point that he was said to have converted to christianity after the crucifixion   and he is traditionally venerated as a saint in the catholic church and several other christian communions  	longinus   legend grew over the years to the point that he was said to have converted to christianity after the crucifixion   and he is traditionally venerated as a saint in various christian denominations  	longinus   legend grew over the years to the point that he was said to have converted to christianity after the crucifixion   and he is traditionally venerated as a saint in the catholic church and several other christian denominations  
43	the longinus legend further identifies this soldier as the centurion present at the crucifixion   who testified      in truth this man was son of god     	the longinus legend further identifies this soldier as the centurion present at the crucifixion   who testified      in truth this man was son of god     	the longinus legend further identifies this soldier as the centurion present at the crucifixion   who testified      in truth this man was son of god     
44	the himalayan elm ulmus wallichiana planch     also known as the kashmir elm   is a mountain tree ranging from central nuristan in afghanistan   through northern pakistan northern india   to western nepal at elevations from 800 m to 3000 m  although dissimilar in appearance   its common name is occasionally used in error for the cherry bark elm ulmus villosa   which is also endemic to the kashmir   but inhabits the valleys   not the mountain slopes  	the himalayan elm  lrb  ulmus wallichiana  rrb  planch     also known as the kashmir elm   found in kashmir  	the himalayan elm  unk   unk   unk   
45	bulimia nervosa and anorexia nervosa are the most common specific forms in the united states  	anorexia nervosa and bulimia nervosa are two of the most common eating disorders today  	anorexia nervosa and bulimia nervosa are the most common eating forms in the united states  
46	initially introduced as an antagonist and naruto  s rival   the two eventually develop a bond as kindred spirits and become close friends as the series progresses  	initially he was a bad guy and naruto  s rival   after a while the two develop a bond as kindred spirits and become close friends  	initially introduced as an lyric and naruto  s rival   the two eventually develop a bond as kindred spirits and become close friends as the series keeps  
47	naruto defeats gaara   and as a result   gaara adopts naruto  s philosophy   realizing that fighting for others yields greater strength than fighting for one  s self  	he is known as gaara of the sand in the viz translation   and sabaku no gaara  lrb  gaara of the desert  rrb  in the original japanese   initially he was a bad guy and naruto  s rival  	he is known as gaara of gaara of the  unk   
48	these attacks on the villagers convinced gaara  s father that he was a failed experiment   and he ordered gaara  s assassination   all of the attempts on gaara  s life failed   as shukaku would always protect gaara from harm and kill the assassin  	he is known as gaara of the sand in the viz translation   and sabaku no gaara  lrb  gaara of the desert  rrb  in the original japanese  	these attacks on the villagers convinced neutral  s father that he was a failed experiment  
49	sebasti n alejandro battaglia  lrb  born november 8   1980  rrb  is an argentine football midfielder who currently plays with argentine club boca juniors  	sebasti n battaglia  lrb  born 8 november 1980  rrb  is an argentine football player   he plays for boca juniors and argentina national team  	sebasti n battaglia  lrb  born 8 november 1980  rrb  is an argentine football player   he plays for boca juniors  
50	the metropolitan transportation authority police   or mta police   is the police agency of new york  s metropolitan transportation authority   or mta  	the metropolitan transportation authority police   or mta police   is the police force of new york  s metropolitan transportation authority local railroad   or mta  	the metropolitan transportation authority police   or mta police   is the police agency of new york  s metropolitan transportation authority   or mta  
51	officers of the mta police are fully empowered under the new york state public authorities law and are commissioned in the state of connecticut  	officers of the mta police are ful police officers in new york state and in the state of connecticut  	officers of the mta police are fully police under the new york state public authorities law and are commissioned in the state of connecticut  
52	open source software is software whose source code is published and made available to the public   enabling anyone to copy   modify and redistribute the source code without paying royalties or fees  	open source is a kind of software   it is different from other software because the source code is available to everyone  	open source software is published and made available to the public  
53	this led to the development of the now widely used terms free open source software and commercial open source software to distinguish between truly open and hybrid forms of open source  	wikipedia uses open source too   the open source movement is led by the open source initiative  	this led to the development of the now widely used terms free open source software and commercial open source software to distinguish between truly open and hybrid forms of open source  
54	europe  s most complete neolithic village   skara brae gained unesco world heritage site status as one of four sites comprising    the heart of neolithic orkney     	it is europe  s most complete neolithic village   the level of preservation is such that it is a main part of the unesco world heritage site of the heart of neolithic orkney  	it was one of four sites comprising    the heart of neolithic orkney     
55	fluency shaping therapy   also known as    speak more fluently         prolonged speech    or    connected speech      trains stutterers to speak fluently by controlling their breathing   phonation   and articulation  lrb  lips   jaw   and tongue  rrb   	stuttering therapy this therapy is also known as    speak more fluently         prolonged speech    or    connected speech      it trains stutterers to speak fluently  lrb  without the  bumpy bits  rrb  by controlling their breathing and how they move their lips   jaw   and tongue  	conceptual shaping therapy   also known as    speak more  unk          long speech    or    connected speech      trains dung to speak  unk  by controlling their breathing    unk    and tongue  rrb   
56	the most widely known approach was published by charles van riper in 1973 and is also known as block modification therapy  	the most widely known approach was made by charles van riper in 1973 and is also known as block modification therapy  	the most widely known approach was published by charles van riper in 1973 and is also known as block modification therapy  
57	the result is very slow   monotonic   but fluent speech   used only in the speech clinic  	this helps to make very slow but non bumpy speech used only in the speech clinic  	the result is very slow   monotonic   but non bumpy bumpy speech used only in the speech clinic  
58	stutterers are trained to reduce their speaking rate by stretching vowels and consonants   and using other fluency techniques such as continuous airflow and soft speech contacts  	stutterers are trained to slow down their speaking rate by stretching vowels and consonants   other methods include soft speech contacts  	stutterers are trained to reduce their speaking rate by stretching vowels and consonants  
59	fluency shaping approaches are often taught in intensive group therapy programs   which may take two to three weeks to complete   but more recently the camperdown program   using a much shorter schedule   has been shown to be effective  	fluency shaping approaches are normally taught in groups therapy programs   which may take two to three weeks to complete   more recently the camperdown program   using a much shorter schedule   has been shown to work well  	 unk  shaping approaches are often taught in intensive group therapy programs   which may take two to three weeks to complete   but more recently the camperdown program   using a much shorter schedule   has been shown to be effective  
60	the goal of stuttering modification therapy is not to eliminate stuttering but to modify it so that stuttering is easier and less effortful  	the goal of stuttering modification therapy is not to get rid of stuttering but to change it so that stuttering is easier and less stressful  	the goal of stuttering modification therapy is not to get rid of stuttering but to change it so that stuttering is easier and less stressful  
61	although the stone is now kept in scotland   in edinburgh castle   at future coronations it is intended that the stone will be returned briefly to st edward  s chair for the moment of coronation  	although the stone is now kept in scotland   at future coronations the stone will be returned briefy to st edward  s chair for the moment of coronation  	although the stone is now kept in scotland   in edinburgh castle   at future coronations it is intended that the stone will be returned briefly to st edward  s chair for the moment of coronation  
62	this behavior has declined recently because of the trend toward buying low fat  lrb  skimmed  rrb  milk   and the replacement of doorstep delivery by supermarket purchases of milk  	this behavior has declined recently because of the replacement of doorstep delivery by supermarket purchases of milk   and by hard topped containers instead of the old bottles  	this behavior has declined recently because of the trend of doorstep delivery by supermarket purchases of milk  
63	a blue tit will often ascend a trunk in short jerky hops   imitating a treecreeper  	a blue tit will often ascend a trunk in short jerky hops   imitating a treecreeper  	a blue tit will often ascend a trunk in short jerky hops   imitating a treecreeper  
64	it is fond of young buds of various trees   and may pull them to bits in the hope of finding insects  	it is fond of young buds of various trees   and may pull them to bits in the hope of finding insects  	it is fond of young buds of various trees   and may pull them to bits in the hope of finding insects  
65	an interesting example of culturally transmitted learning in birds was the phenomenon dating from the 1960s of blue tits teaching one another how to open traditional british milk bottles with foil tops   to get at the cream underneath  	an interesting example of culturally transmitted learning in birds was the phenomenon dating from the 1960s of blue tits teaching one another how to open traditional british milk bottles with foil tops   to get at the cream underneath  	an interesting example of culturally transmitted learning in birds was the phenomenon dating from the 1960s of blue tits teaching one another how to open traditional british milk bottles with foil tops   to get at the cream underneath  
66	hutton hit on a variety of ideas to explain the rock formations he saw around him   but according to playfair he    was in no haste to publish his theory   for he was one of those who are much more delighted with the contemplation of truth   than with the praise of having discovered it  	hutton hit on a variety of ideas to explain the rock strata he saw around him   according to playfair he    was in no haste to publish his theory   for he was one of those who are much more delighted with the contemplation of truth   than with the praise of having discovered it  	hutton hit on a variety of ideas to explain the rock formations he saw around him   but according to  unk  he    was in no  unk  to publish his theory     
67	over time there was a convergence in views   but lyell  s description of the development of geological ideas led to wide belief that uniformitarianism had triumphed  	over time there was a convergence between these views   but lyell  s description of the development of geological ideas led to a belief that uniformitarianism had triumphed  	over time there was a convergence in views   but lyell  s description of the development of geological ideas led to wide belief that uniformitarianism had triumphed  
68	hutton subsequently read an abstract of his dissertation concerning the system of the earth   its duration and stability to society meeting on 4 july 1785   which he had printed and circulated privately  	hutton later read an abstract of his concerning the system of the earth   its duration and stability on 4 july 1785   which he had printed and circulated privately  	hutton later read an abstract of his concerning the system of the earth   its duration and stability to society meeting on 4 july 1785   which he had printed and circulated privately  
69	after some 25 years of work   his theory of the earth   or an investigation of the laws observable in the composition   dissolution   and restoration of land upon the globe was read to meetings of the royal society of edinburgh in two parts   the first by his friend joseph black on 7 march 1785   and the second by himself on 4 april 1785  	after some 25 years of work   his theory of the earth was read to meetings of the royal society of edinburgh in 1785  	after some 25 years of work   his theory of the earth  
70	prior to that he had been their test driver   as well as a competitor in the gp2 series for the dams team  	prior to that he had been their test driver   he has also competited in the gp2 series for the dams team  	prior to that he had been their test driver   as well as a competitor in the gp2 series for the dams team  
71	restatements of his geological ideas  lrb  though not his thoughts on evolution  rrb  by john playfair in 1802 and then charles lyell in the 1830s popularized the concept of an infinitely repeating cycle   though lyell tended to dismiss hutton  s views as giving too much credence to catastrophic changes  	restatements of his geological ideas  lrb  though not his thoughts on evolution  rrb  by john playfair in 1802 and then charles lyell in the 1830s popularized the concept of an infinitely repeating cycle   though lyell tended to dismiss hutton  s views as giving too much credence to catastrophic changes  	 unk  of his geological ideas  lrb  though not his thoughts on evolution  rrb  by john  unk  in 1802 and then charles lyell in the 1830s popularized the concept of an infinitely repeating cycle  
72	lyell  s books had widepread influence   not least on the up and coming young geologist charles darwin who read them with enthusiasm during his voyage on the beagle   and has been described as lyell  s first disciple  	lyell  s books had widepread influence   not least on the up and coming young geologist charles darwin who read them with enthusiasm during his voyage on the beagle  	lyell  s books had widepread influence   not least on the up and coming young geologist charles darwin who read them with enthusiasm during his voyage on the beagle   and has been described as lyell  s first disciple  
73	in a comment on the arguments of the 1830s   william whewell coined the term uniformitarianism to describe lyell  s version of the ideas   contrasted with the catastrophism of those who supported the early 19th century concept that geological ages recorded a series of catastrophes followed by repopulation by a new range of species  	william whewell coined the term uniformitarianism to describe lyell  s version of the ideas   this was in contrast with catastrophism   the idea that the rocks recorded a series of catastrophes followed by repopulation by a new range of species  	in a comment on the arguments of the 1830s   william  unk  coined the term uniformitarianism to describe lyell  s version of the ideas   collect with the  unk  of those who supported the early 19th century concept that geological ages recorded a series of  unk  followed by  unk  by a new range of species  
74	the test bay is a place such as a hall   a laboratory or sometimes a department where the produced articles are tested before delivery according to testing guidelines of this industry or firm  	at these places   the produced materials are tested before delivery   to test them   testing guidelines of industry or this firm are used  	the test bay is a place such as a hall   a laboratory or sometimes a department where the produced articles are tested before delivery according to testing guidelines of this industry or firm  
75	the test bay or test field is part of the quality management   and the protocols are the evidence in case of insurance issues   say  	the test bay is part of the quality management   the protocols written during testing are evidences in case of insurance issues   say  	the test bay or test field is part of the quality management   and the protocols are the evidence in case of insurance issues   say  
76	the greeks believed that the soul or    psyche    was responsible for behavior  	the article about her is at psyche  lrb  mythology  rrb  the ancient greeks believed that the psyche  lrb  or soul  rrb  was responsible for behavior  	the greeks believed that the psyche or    psyche    was responsible for behavior  
77	tatsunori hisanaga is a japanese footballer  	tatsunori hisanaga  lrb  born 23 december 1977  rrb  is a japanese football player  	tatsunori hisanaga  lrb  born 23 december 1977  rrb  is a japanese football player  
78	phonetics was studied as early as 500 bc in ancient india   with p  ini  s account of the place and manner of articulation of consonants in his 5th century bc treatise on sanskrit  	the first time phonetics was studied was 2 500 years ago in what is now india   with p  ini   when he wrote about the place and manner of articulation of consonants in sanskrit in his 5th century bc essay on sanskrit linguistics  	phonetics was studied as early as 500 bc in ancient india   with p  ini  s account of the place and manner of articulation of consonants in his 5th century bc essay on sanskrit  
79	the major indic alphabets today order their consonants according to p  ini  s classification  	the major indic scripts today order their consonants the way p  ini did  	the major indic scripts today order their consonants according to p  ini  s classification  
80	bachmann is a supporter of the tea party movement and is founder of the house tea party caucus  	she is also a supporter for the tea party movement and founder of the house  s tea party caucus  	she is a supporter of the tea party movement and founder of the house tea party caucus  
81	saint aignan sur ro     is a commune in the mayenne department in north western france  	saint aignan sur ro     is a commune of 926 people  lrb  1999  rrb    it is found in the region pays de la loire in the mayenne department in the northwest of france  	saint aignan sur ro     is a commune of 926 people  lrb  1999  rrb    it is found in the region pays de la loire in the mayenne department in the northwest of france  
82	terms of art such as    primary custodial parent    and    primary residence    have no legal meaning other than for determining tax status   and both parents are still said to be    custodial parents     	he or she is the    custodial parent     	terms of art such as    primary custodial parent    and    primary residence    have no legal meaning other than for determining tax status   and both parents are still said to be    custodial parents     
83	he dovetailed that championship with appearances in the japanese gt300 sports car series   where he ended the year eighth  	he also raced in the japanese gt300 sports car series   where he ended the year eighth  	he also raced in the japanese gt300 sports car series   where he ended the year eighth  
84	if a child lives with only one parent   that parent has sole physical custody and is said to be the custodial parent  	if a child lives with one parent   that parent has    sole physical custody      he or she is the    custodial parent     	if a child lives with only one parent   that parent has sole physical custody and is said to be the custodial parent  
85	if a child lives with both parents   each parent shares    joint physical custody    and each parent is said to be a    custodial parent     	if a child lives with one parent   that parent has    sole physical custody     	if a child lives with both parents   each parent shares    joint physical custody    and each parent is said to be a    custodial parent     
86	joint custody is an arrangement whereby both parents have legal custody and  or both parents have physical custody  	there may be    joint custody      which means that both parents have custody over the child  	   joint custody    is an arrangement that has custody  
87	klaus fischer  lrb  born 27 december 1949  rrb  is a german former football player and coach  	klaus fischer  lrb  born 27 december   1949  rrb  is a former german football player  	klaus fischer  lrb  born 27 december   1949  rrb  is a former german football player  
88	hand drawn   local tattoo flash was largely replaced by professional    flash artists    who produced prints of copyrighted flash and sold them at conventions or through the internet   by the turn of the new century  lrb  2000  rrb    most tattoo studios have become custom shops with the flash serving as more of a reference for ideas  	a flash  lrb  also known as a tattoo flash  rrb  is a design or picture that is used in order to create a tattoo  	hand drawn   local tattoo flash was largely replaced by professional    flash artists     
89	he was drafted by the senators in the ninth round of the 2003 nhl entry draft   291st overall  	he was drafted by the ottawa senators with the 291st overall pick in the 2003 nhl draft and played 3 seasons with them before being traded to the colorado avalanche on february 18   2011 for craig anderson  	he was drafted by the senators in the ninth round of the 2003 nhl entry draft  
90	brian elliott  lrb  born april 9   1985  rrb  is a canadian ice hockey goaltender currently playing for the colorado avalanche of the national hockey league  	brian elliott  lrb  born april 9   1985 in newmarket   ontario  rrb  is a professional canadian ice hockey goaltender that currently plays for the colorado avalanche of the national hockey league  lrb  nhl  rrb   	brian elliott  lrb  born april 9   1985  rrb  is a canadian ice hockey goaltender currently playing for the colorado avalanche of the national hockey league  lrb  nhl  rrb   
91	a study by hey has indicated that of the people migrating across this land bridge during that time period   only 70 left their genetic print in modern descendants   a minute effective founder population    easily misread as though implying that only 70 people crossed to north america  	a study by hey has indicated that of the people migrating across this land bridge during that time period   only 70 left their genetic print in modern descendants  	a study by hey has indicated that of the people migrating across this land bridge during that time period   only 70 left their genetic print in modern descendants  
92	the rise and fall of global sea levels has exposed and submerged the bridging land mass called    beringia    in several periods of the pleistocene  	the rise and fall of global sea levels has exposed and submerged the bridging land mass called    beringia    in several periods of the pleistocene  	the rise and fall of global sea levels has exposed and submerged the bridging land mass called    beringia    in several periods of the pleistocene  
93	the beringian land bridge is believed to have existed both in the glaciation that occurred before 35 000 before present  lrb  bp  rrb  and during the more recent period 22 000 7  000 years bp  	the beringian land bridge is believed to have existed both in the glaciation that occurred before 35 000 bp and during the more recent period 22 000 7  000 years before present  	the beringian land bridge is believed to have existed both in the glaciation that occurred before 35 000 bp and during the more recent period 22 000 7  000 years ago  
94	during cycles of global cooling   such as the most recent ice age   enough sea water became concentrated in the ice caps of the arctic and antarctic that the subsequent drop in eustatic sea levels exposed shallow sea floors that have subsequently re flooded  	during cycles of global cooling   such as the most recent ice age   enough sea water became concentrated in the ice caps of the arctic and antarctica that the subsequent drop in eustatic sea levels exposed shallow sea floors that have subsequently re flooded  	during cycles of global cooling   such as the most recent ice age   enough sea water became concentrated in the ice caps of the arctic and antarctica that the subsequent drop in eustatic sea levels exposed shallow sea that have subsequently re flooded  
95	the bering land bridge was a land bridge roughly 1 000 miles  lrb  1 600 km  rrb  north to south at its greatest extent   which joined present day alaska and eastern siberia at various times during the pleistocene ice ages  	its greatest extension was about 1 000 miles  lrb  1 600 km  rrb  north to south  	the bering land bridge was a land bridge roughly 1 000 miles  lrb  1 600 km  rrb  north to south at its greatest extent   which joined present day alaska and eastern siberia at various times during the pleistocene ice ages  
